"mon.yr","price","time","change","unsold","months"
"Jan-10",316698.16,27.9,-0.11,5.5,1
"Feb-10",283298.9,36.1,-0.08,5.8,2
"Mar-10",290000,34.7,0,4.6,3
"Apr-10",289710,33.6,-0.05,4.6,4
"May-10",297410,37.1,-0.02,4.3,5
"Jun-10",310870.71,40.4,-0.04,4.6,6
"Jul-10",331420,43.4,-0.22,5.7,7
"Aug-10",336420,45.1,-0.1,5.8,8
"Sep-10",355900,46.8,-0.14,6,9
"Oct-10",333970,51.4,-0.24,6.4,10
"Nov-10",302450,53.3,-0.12,6.7,11
"Dec-10",328140,56.3,-0.09,5.3,12
"Jan-11",305570,59.1,0.02,6.6,13
"Feb-11",286100,62.1,-0.1,7.8,14
"Mar-11",282170,56.5,-0.04,5.5,15
"Apr-11",290600,53.7,-0.11,5.8,16
"May-11",271540,51.9,-0.16,6,17
"Jun-11",301300,52.7,-0.12,5.4,18
"Jul-11",317060,54.6,-0.05,5.8,19
"Aug-11",312900,54.2,0.02,5.5,20
"Sep-11",330610,57.1,-0.2,5.5,21
"Oct-11",307970,56.4,0.01,5.7,22
"Nov-11",291260,59,0.04,5.6,23
"Dec-11",306950,62.3,-0.05,4.7,24
"Jan-12",290900,64,-0.06,6.1,25
"Feb-12",272690,59.5,0.13,5.7,26
"Mar-12",272920,55.6,0.01,4.3,27
"Apr-12",286800,53,-0.01,4.4,28
"May-12",282930,51,0.18,3.6,29
"Jun-12",315390,46.6,0.05,3.4,30
"Jul-12",334190,47.5,0.09,3.4,31
"Aug-12",344770,44.6,0.14,3,32
"Sep-12",373020,42.8,-0.08,3.7,33
"Oct-12",364810,40.3,0.17,3,34
"Nov-12",337080,40.4,0.11,2.9,35
"Dec-12",367400,40.2,0.05,2.4,36
"Jan-13",349720,38.6,0.09,3,37
"Feb-13",337630,36.5,-0.05,3.3,38
"Mar-13",340890,31.5,-0.06,2.7,39
"Apr-13",361630,29.2,0.06,2.6,40
"May-13",365990,27.9,-0.02,2.5,41
"Jun-13",403760,28.8,-0.08,2.8,42
"Jul-13",421350,28.7,0.02,2.9,43
"Aug-13",444950,31.1,-0.06,2.9,44
"Sep-13",459010,33,0.01,3.4,45
"Oct-13",447130,35.7,-0.05,3.2,46
"Nov-13",405470,38.5,-0.15,3.5,47
"Dec-13",439830,41,-0.15,3,48
"Jan-14",423570,46.6,-0.13,4,49
"Feb-14",389080,43.6,-0.14,4.6,50
"Mar-14",395660,39,-0.17,3.9,51
"Apr-14",406750,39.5,-0.06,3.5,52
"May-14",411640,38.7,-0.12,3.6,53
"Jun-14",435950,39.7,-0.06,3.8,54
"Jul-14",461290,39.8,-0.07,3.8,55
"Aug-14",474640,43,-0.13,4,56
"Sep-14",486030,45.1,-0.02,4.2,57
"Oct-14",477600,45.5,-0.05,3.9,58
"Nov-14",434070,47.8,-0.09,4.4,59
"Dec-14",464650,50.9,-0.01,3.4,60
"Jan-15",441610,54.8,-0.12,4.9,61
"Feb-15",419260,51.1,-0.03,5.2,62
"Mar-15",419370,45,0.11,3.8,63
"Apr-15",427010,41.9,0.03,3.5,64
"May-15",432570,40.1,0.02,3.6,65
"Jun-15",473290,39.9,0.16,3.4,66
"Jul-15",490360,41.2,0.17,3.4,67
"Aug-15",492360,41.3,0.04,3.7,68
"Sep-15",517750,42.3,0.1,3.6,69
"Oct-15",509570,45.8,-0.01,3.7,70
