,STATE/REGION/COUNTY,Q32022,Q22022,Q32021,S.F. Bay Area,Southern California,Central Coast,Central Valley,Far North,Other Counties,region
1,Alameda,17.185421428967775,14.98391157375202,18.960527297022317,1,0,0,0,0,0,S.F. Bay Area
2,Contra Costa,25.253664097876587,21.74725734914344,31.427381026174587,1,0,0,0,0,0,S.F. Bay Area
3,Marin,18.433955627808842,16.504137155790367,21.942066069757132,1,0,0,0,0,0,S.F. Bay Area
4,Napa,13.250840239584168,15.442712618888656,23.104194956702457,1,0,0,0,0,0,S.F. Bay Area
5,San Francisco,20.465951283597597,16.89367309986437,20.534222862084842,1,0,0,0,0,0,S.F. Bay Area
6,San Mateo,18.533543410663604,15.027467571701965,19.486564425519624,1,0,0,0,0,0,S.F. Bay Area
7,Santa Clara,20.240516190531128,17.852626760591487,22.15290148599034,1,0,0,0,0,0,S.F. Bay Area
8,Solano,29.91738410528749,28.432094717492063,41.736598242314955,1,0,0,0,0,0,S.F. Bay Area
9,Sonoma,18.759465574869804,17.268516832210704,28.239132690300004,1,0,0,0,0,0,S.F. Bay Area
11,Los Angeles,13.369143677614527,15.940140580343563,18.893788051918573,0,1,0,0,0,0,Southern California
12,Orange ,12.67242390585855,11.891139307829329,18.066102253377984,0,1,0,0,0,0,Southern California
13,Riverside ,22.597886055521098,21.221781041064816,33.21291887814595,0,1,0,0,0,0,Southern California
14,San Bernardino,30.54529507411429,30.073874451229276,43.197251125821786,0,1,0,0,0,0,Southern California
15,San Diego,15.292193113424373,13.646222938500898,22.720562791038272,0,1,0,0,0,0,Southern California
16,Ventura,16.556761277384386,15.187171820877575,24.743055885313858,0,1,0,0,0,0,Southern California
18,Monterey,13.387637787861259,12.998051421038536,19.508962987859682,0,0,1,0,0,0,Central Coast
19,San Luis Obispo,12.533006519123244,12.373308574426128,23.624775265496666,0,0,1,0,0,0,Central Coast
20,Santa Barbara,12.266132182966658,9.967689485792349,16.789563917062367,0,0,1,0,0,0,Central Coast
21,Santa Cruz,13.601375820928324,12.897697034164604,17.383566154069708,0,0,1,0,0,0,Central Coast
23,Fresno,31.878067443134317,30.596693059670756,42.43013105486581,0,0,0,1,0,0,Central Valley
24,Glenn,34.202398388852814,35.8052620902093,44.4939746597377,0,0,0,1,0,0,Central Valley
25,Kern,33.68377129046097,32.00994158289866,44.63681335842261,0,0,0,1,0,0,Central Valley
26,Kings ,39.737047948493874,38.53533323324055,55.97915144099855,0,0,0,1,0,0,Central Valley
27,Madera,33.892688678816455,32.49032545962497,43.43137212850163,0,0,0,1,0,0,Central Valley
28,Merced,33.68823275543082,33.909116473664945,44.26450017840647,0,0,0,1,0,0,Central Valley
29,Placer ,29.780975424603724,26.70442380468359,38.03538123191577,0,0,0,1,0,0,Central Valley
30,Sacramento,28.70138776789062,26.730051051243386,39.318624582004624,0,0,0,1,0,0,Central Valley
31,San Benito,20.228664046460317,16.56241335289548,27.036312191462702,0,0,0,1,0,0,Central Valley
32,San Joaquin,29.183593929606452,26.090969673390227,37.24796222401756,0,0,0,1,0,0,Central Valley
33,Stanislaus,29.577194125954993,28.29010703484473,40.666023769910566,0,0,0,1,0,0,Central Valley
34,Tulare,35.62390357872008,33.66418614481066,45.50060369621896,0,0,0,1,0,0,Central Valley
36,Butte,29.82919686521505,27.70939256848806,34.75458403996544,0,0,0,0,1,0,Far North
37,Lassen,55.76319091391569,53.818359785387806,68.01552723981168,0,0,0,0,1,0,Far North
38,Plumas,28.45333306989203,31.552355031684833,38.297970248636396,0,0,0,0,1,0,Far North
39,Shasta,38.74081070620055,36.20733478141179,44.133666042928056,0,0,0,0,1,0,Far North
40,Siskiyou,30.807372194204703,29.524887325285107,41.04413180977931,0,0,0,0,1,0,Far North
41,Tehama,38.83801923111736,32.842909750912966,37.93730821682018,0,0,0,0,1,0,Far North
43,Amador,34.12984365441683,32.04906838520924,42.262596066527244,0,0,0,0,0,1,Other County
44,Calaveras,31.820230432338988,29.081621065041418,38.75916548772712,0,0,0,0,0,1,Other County
45,Del Norte,26.87753916453024,31.241218293437772,34.59761428837981,0,0,0,0,0,1,Other County
46,El Dorado,27.326567225472438,24.16121361518176,34.75336151032138,0,0,0,0,0,1,Other County
47,Humboldt,23.101383108387235,23.929057318009257,32.391153113545634,0,0,0,0,0,1,Other County
48,Lake,32.747806432121045,33.01653946939833,42.37653890069379,0,0,0,0,0,1,Other County
49,Mariposa,21.169350681513162,21.717418017508834,34.829556472777476,0,0,0,0,0,1,Other County
50,Mendocino,17.580739909346384,15.202659982561839,22.88306138018667,0,0,0,0,0,1,Other County
51,Mono,7.990878708974861,6.3902305724549135,12.904229219301861,0,0,0,0,0,1,Other County
52,Nevada,25.40050854788001,24.74204432085821,34.693523132190556,0,0,0,0,0,1,Other County
53,Sutter,32.20136061182253,31.374847734390592,42.06345354169921,0,0,0,0,0,1,Other County
54,Tuolumne,35.079616154367514,32.58739304807164,45.03697282478102,0,0,0,0,0,1,Other County
55,Yolo,24.064516743923384,22.963891028727005,32.54734545416234,0,0,0,0,0,1,Other County
56,Yuba,29.22623711254744,27.408453328104205,38.20762585363215,0,0,0,0,0,1,Other County
